,"SegmentID","OldID","Longitude","Latitude","District","Upazila","RefLevel","ParaHeight","StartYear","EndYear"
1268,"KT038_1_0","KT038",88.96,23.87,"Kushtia","Mirpur",12.74,0.46,1978,1994
1269,"JE001_0","JE001",89.27,23.2,"Jessore","Kotwali",8.29,0.46,1966,1982
1270,"FA059_2","FA059",90.43,23.21,"Shariatpur","Bhedarganj",6.03,0.46,2003,2019
1271,"BO023_2","BO023",88.98,25.13,"Joypurhat","Joypurhat Sadar",21.61,0.3,2001,2017
1272,"PA050_1","PA050",89.64,24.64,"Sirajganj","Kazipur",15.21,0.6,1979,1995
1273,"SY034_1_1","SY034",92.13,24.44,"Maulvibazar","Kulaura",17.57,0.28,1972,1988
1274,"RJ105_1_0","RJ105",88.42,24.45,"Rajshahi","Godagari",18.82,0.35,1977,1993
1275,"NA006_1_1","NA006",91.07,22.95,"Noakhali","Begumganj",4.28,0.46,1981,1997
1276,"RA-30_3","RA-30",89.1,25.87,"Nilphamari","Kishoreganj",45.75,0.67,2002,2018
1277,"RJ069_0","RJ069",88.88,24.49,"Rajshahi","Puthia",15.08,0.36,1966,1982
1278,"KT048_2","KT048",88.7,23.69,"Meherpur","Meherpur Sadar",14.4,0.42,2002,2018
1279,"BO015_1","BO015",89.22,24.71,"Bogra","Nandigram",14.26,0.38,2002,2018
1280,"JE017_0","JE017",89.47,23.51,"Magura","Magura Sadar",8.65,0.45,1975,1990
1281,"RJ102_0","RJ102",88.84,24.29,"Rajshahi","Charghat",18.6,0.45,1977,1992
1282,"DH026_0","DH026",89.83,23.96,"Manikganj","Daulatpur",8.74,0.46,1998,2013
1283,"FA014_0","FA014",89.39,23.87,"Rajbari","Pangsha",10.62,0.46,1967,1982
1284,"MY058_0","MY058",90.27,24.71,"Mymensingh","Muktagachha",12.88,0.46,1977,1993
1285,"RJ129_0","RJ129",89.14,24.28,"Natore","Baraigram",16.88,0.45,1978,1993
1286,"RJ108_0","RJ108",88.22,24.76,"Nawabganj","Shibganj",24.39,0.38,1977,1992
1287,"DI064_0","DI064",88.73,25.54,"Dinajpur","Dinajpur Sadar",33,0.87,1977,1992
1288,"DH075_0","DH075",90.9,23.96,"Narsingdi","Roypura",8.74,0.46,1979,1994
1289,"BA008_0","BA008",90.07,22.49,"Pirojpur","Bhandaria",3.16,0.46,1975,1991
1290,"KT038_1_1","KT038",88.96,23.87,"Kushtia","Mirpur",12.74,0.46,1994,2009
1291,"RJ019_2","RJ019",88.45,24.87,"Nawabganj","Gomastapur",28.58,0.3,2003,2018
1292,"RA-39_0","RA-39",89.57,25.41,"Gaibandha","Gaibandha Sadar",21.69,0.4,1967,1982
1293,"DI040_2_0","DI040",88.69,25.65,"Dinajpur","Dinajpur Sadar",41.34,0.52,1975,1991
1294,"DH079_0","DH079",90.53,24.27,"Gazipur","Sreepur",15.84,0.61,1975,1991
1295,"MY079_0","MY079",90.47,24.85,"Mymensingh","Phulpur",12.17,0.96,1976,1991
1296,"RJS18_1","RJS18",88.23,24.89,"Nawabganj","Bholahat",24.68,0.45,1984,1999
1297,"RJ073_3","RJ073",88.3,24.73,"Nawabganj","Nachole",39.3,0.61,2003,2018
1298,"RJ090_1","RJ090",89.14,24.47,"Natore","Singra",13.85,0.4,1967,1982
1299,"FA013_0","FA013",89.99,22.94,"Gopalganj","Kotalipara",3.46,0.3,1967,1982
1300,"PA033_0","PA033",89.33,23.96,"Pabna","Pabna Sadar",12.35,0.4,1976,1992
1301,"RA-26_2_0","RA-26",89.18,26.03,"Lalmonirhat","Kaliganj",37.65,0.56,1981,1996
1302,"NA004_1","NA004",91.2,23.02,"Noakhali","Senbagh",6.6,0.46,1973,1988
1303,"SY035_2_1","SY035",91.91,24.57,"Maulvibazar","Rajnagar",25,0.34,1995,2010
1304,"DH070_1","DH070",90.39,23.9,"Gazipur","Gazipur Sadar",8.95,0.41,1998,2013
1305,"RA-15_2","RA-15",88.95,26.01,"Nilphamari","Jaldhaka",51.1,0.84,2002,2017
1306,"PA035_0","PA035",89.13,24.09,"Pabna","Ishwardi",14.11,0.4,1976,1991
1307,"BA022_2_0","BA022",90.76,22.32,"Bhola","Lalmohan",2.58,0.46,1998,2013
1308,"RJ076_2","RJ076",88.19,24.84,"Nawabganj","Shibganj",24.83,0.38,2003,2018
1309,"SY031_1_1","SY031",91.99,24.4,"Maulvibazar","Kulaura",27,0.23,1987,2002
1310,"DI001_1","DI001",88.456,26.527,"Panchagarh","Tentulia",89.78,0.32,2003,2018
1311,"SY028_2","SY028",91.83,24.32,"Maulvibazar","Kamalganj",16.39,0.57,2004,2019
1312,"KT029_0","KT029",88.85,23.59,"Chuadanga","Chuadanga Sadar",12.8,0.06,1976,1991
1313,"BO032_0","BO032",89.01,25.23,"Joypurhat","Panchbibi",25.67,0.38,1980,1994
1314,"DH069_0","DH069",90.22,23.91,"Dhaka","Dhamrai",13,0.8,1975,1989
1315,"CT028_0","CT028",92.01,22.29,"Chittagong","Patiya",8.12,0.23,1977,1992
1316,"RA-63","RA-63",89.66,25.58,"Kurigram","Chilmari",23.95,0.63,2001,2015
1317,"CT007_0","CT007",92.08,21.46,"Cox'Sbazar","Ramu",5.56,0.46,1972,1987
1318,"RJ126_0","RJ126",88.77,25.14,"Naogaon","Dhamoirhat",21.12,0.6,1978,1993
1319,"RJ138_1","RJ138",88.75,24.85,"Naogaon","Mahadebpur",16.18,0.46,1997,2012
1320,"RJ103_0","RJ103",88.51,24.37,"Rajshahi","Paba",19.27,0.78,1977,1991
1321,"JA010_0","JA010",89.91,24.85,"Jamalpur","Jamalpur Sadar",21,0.46,1975,1989
1322,"SY104_2_0","SY104",91.97,25.06,"Sylhet","Gowainghat",13,0.66,1993,2007
1323,"JE027_0","JE027",89.05,23.02,"Jessore","Jhikargachha",6.62,0.46,1976,1991
1324,"DI076_0","DI076",88.65,26.41,"Panchagarh","Panchagarh Sadar",79.42,0.31,1977,1992
1325,"DI049_1","DI049",88.38,25.87,"Thakurgaon","Pirganj",46.49,0.85,1967,1982
1326,"MY087_0","MY087",90.25,24.78,"Mymensingh","Muktagachha",20,0.61,1975,1990
1327,"PA055_2","PA055",88.726,24.9,"Sirajganj","Chauhali",12.8,0.45,2004,2018
1328,"DH076_0","DH076",90.68,23.88,"Narsingdi","Narsingdi Sadar",7.01,0.46,1975,1990
1329,"RJ035_1","RJ035",88.96,24.17,"Natore","Lalpur",16.6,2.5,1965,1980
1330,"RA-59_0_0","RA-59",89.27,25.46,"Rangpur","Pirganj",22.84,0.35,1977,1991
1331,"MY016_0","MY016",91.02,24.07,"Kishoreganj","Bhairab",7.77,0.46,1976,1990
1332,"BA001_0","BA001",90.36,22.71,"Barisal","Barisal Sadar (Kotwali)",4.26,0.3,1970,1984
1333,"RJ059_4","RJ059",88.54,24.93,"Naogaon","Niamatpur",22.72,0.21,1984,1998
1334,"TA004_0","TA004",90.04,24.65,"Tangail","Madhupur",12.91,0.76,1971,1985
1335,"MY039_2","MY039",91.04,24.67,"Netrakona","Madan",7,0.53,1990,2005
1336,"BA013_2_0","BA013",90.26,22.92,"Barisal","Gaurnadi",3.56,0.56,1977,1991
1337,"RJ126_1","RJ126",88.77,25.14,"Naogaon","Dhamoirhat",21.12,0.6,1993,2007
1338,"KH004_0","KH004",89.46,22.98,"Khulna","Phultala",4.35,0.46,1973,1987
1339,"MY033_2","MY033",90.84,25.08,"Netrakona","Kalmakanda",9,0.46,1985,1999
1340,"SY014_1_1","SY014",91.6,24.33,"Habiganj","Bahubal",16.24,0.56,1987,2001
1341,"KH-A-10","KH-A-10",89.546,22.83,"Khulna","Khulna Sadar",3.12,0.3,1994,2008
1342,"CT016_1","CT016",91.59,22.79,"Chittagong","Mirsharai",9.08,0.46,1974,1989
1343,"RJ047_0","RJ047",88.6,24.88,"Naogaon","Niamatpur",27.33,0.46,1966,1980
1344,"CH001_1_0","CH001",92.17,22.23,"Bandarban","Bandarban Sadar",8.92,1.12,1974,1988
1345,"DH102_0","DH102",90.63,24.2,"Gazipur","Kapasia",18,0.46,1977,1991
1346,"CT040_2_0","CT040",91.5,22.49,"Chittagong","Sandwip",3.67,0.3,1986,2000
1347,"MY089_0","MY089",90.6,24.4,"Mymensingh","Gaffargaon",9.39,0.46,1975,1989
1348,"DI093_1","DI093",88.46,26.06,"Thakurgaon","Thakurgaon Sadar",54.16,0.8,1980,1994
1349,"PA-A-5","PA-A-5",89.22,24,"Pabna","Pabna Sadar",12.72,0.28,1995,2008
1350,"RJS16_1","RJS16",88.21,24.56,"Nawabganj","Nawabganj Sadar",22.15,0.45,1984,1998
1351,"JE060_1","JE060",89.5,23.33,"Magura","Mohammadpur",6.93,0.46,1981,1995
1352,"BA005_2_1","BA005",89.97,22.72,"Pirojpur","Nazirpur",2.03,0.41,2005,2019
1353,"KT041_0","KT041",88.94,24.12,"Kushtia","Bheramara",20,0.4,1978,1991
1354,"BO023_1","BO023",88.98,25.13,"Joypurhat","Joypurhat Sadar",21.61,0.3,1978,1991
1355,"RA-A-2","RA-A-2",89.27,25.73,"Rangpur","Rangpur Sadar",15.94,0.48,1995,2008
1356,"DI-A-1","DI-A-1",88.46,26.03,"Thakurgaon","Thakurgaon Sadar",14.39,0.5,1995,2008
1357,"RJ050_2","RJ050",88.58,25.05,"Naogaon","Sapahar",36.5,0.46,1979,1993
1358,"RAJ-A-4","RAJ-A-4",88.605,24.38,"Rajshahi","Paba",31.2,0.42,1995,2008
